mes,ano,total_ocorrencias
10.0,2001.0,1
4.0,2013.0,1
5.0,2013.0,1
7.0,2013.0,1
8.0,2013.0,4
9.0,2013.0,1
1.0,2014.0,1245
2.0,2014.0,1479
3.0,2014.0,2020
4.0,2014.0,1627
5.0,2014.0,1644
6.0,2014.0,1908
7.0,2014.0,2294
8.0,2014.0,1544
9.0,2014.0,1869
10.0,2014.0,2376
11.0,2014.0,2164
12.0,2014.0,1879
2.0,2015.0,1
11.0,2015.0,1
1.0,2016.0,3513
2.0,2016.0,2216
3.0,2016.0,3832
4.0,2016.0,3459
5.0,2016.0,3548
6.0,2016.0,3360
7.0,2016.0,3642
8.0,2016.0,2679
9.0,2016.0,3157
10.0,2016.0,2014
11.0,2016.0,3864
12.0,2016.0,3479
1.0,2017.0,2172
2.0,2017.0,2101
3.0,2017.0,3316
4.0,2017.0,3019
5.0,2017.0,3751
6.0,2017.0,3231
7.0,2017.0,2731
8.0,2017.0,2946
9.0,2017.0,1779
10.0,2017.0,3110
11.0,2017.0,2638
12.0,2017.0,3011
1.0,2018.0,2244
2.0,2018.0,3353
3.0,2018.0,2463
4.0,2018.0,3028
5.0,2018.0,3211
6.0,2018.0,2642
7.0,2018.0,3453
8.0,2018.0,2721
9.0,2018.0,3625
10.0,2018.0,2924
11.0,2018.0,2835
12.0,2018.0,2945
12.0,2019.0,2
1.0,2021.0,2164
2.0,2021.0,2062
3.0,2021.0,2271
4.0,2021.0,2052
5.0,2021.0,2559
6.0,2021.0,1839
7.0,2021.0,1861
8.0,2021.0,2270
9.0,2021.0,2324
10.0,2021.0,2225
11.0,2021.0,1837
12.0,2021.0,2268
1.0,2023.0,2702
2.0,2023.0,1943
3.0,2023.0,3077
4.0,2023.0,3017
5.0,2023.0,2111
6.0,2023.0,2696
7.0,2023.0,2730
8.0,2023.0,1836
9.0,2023.0,2419
10.0,2023.0,3074
11.0,2023.0,2878
12.0,2023.0,1898
1.0,2024.0,2416
2.0,2024.0,3211
3.0,2024.0,2594
4.0,2024.0,3252
5.0,2024.0,2436
6.0,2024.0,2831
7.0,2024.0,2003
8.0,2024.0,3049
9.0,2024.0,2876
10.0,2024.0,2347
11.0,2024.0,3117
12.0,2024.0,2298
