ano,mes,total_ocorrencias,chuva_mm,estacao_chuvosa
2001,10,1,120,Chuvosa
2013,4,1,250,Chuvosa
2013,5,1,320,Chuvosa
2013,7,1,340,Chuvosa
2013,8,4,280,Chuvosa
2013,9,1,180,Chuvosa
2014,1,1245,100,Seca
2014,2,1479,110,Seca
2014,3,2020,150,Seca
2014,4,1627,250,Chuvosa
2014,5,1644,320,Chuvosa
2014,6,1908,350,Chuvosa
2014,7,2294,340,Chuvosa
2014,8,1544,280,Chuvosa
2014,9,1869,180,Chuvosa
2014,10,2376,120,Chuvosa
2014,11,2164,80,Seca
2014,12,1879,70,Seca
2015,2,1,110,Seca
2015,11,1,80,Seca
2016,1,3513,100,Seca
2016,2,2216,110,Seca
2016,3,3832,150,Seca
2016,4,3459,250,Chuvosa
2016,5,3548,320,Chuvosa
2016,6,3360,350,Chuvosa
2016,7,3642,340,Chuvosa
2016,8,2679,280,Chuvosa
2016,9,3157,180,Chuvosa
2016,10,2014,120,Chuvosa
2016,11,3864,80,Seca
2016,12,3479,70,Seca
2017,1,2172,100,Seca
2017,2,2101,110,Seca
2017,3,3316,150,Seca
2017,4,3019,250,Chuvosa
2017,5,3751,320,Chuvosa
2017,6,3231,350,Chuvosa
2017,7,2731,340,Chuvosa
2017,8,2946,280,Chuvosa
2017,9,1779,180,Chuvosa
2017,10,3110,120,Chuvosa
2017,11,2638,80,Seca
2017,12,3011,70,Seca
2018,1,2244,100,Seca
2018,2,3353,110,Seca
2018,3,2463,150,Seca
2018,4,3028,250,Chuvosa
2018,5,3211,320,Chuvosa
2018,6,2642,350,Chuvosa
2018,7,3453,340,Chuvosa
2018,8,2721,280,Chuvosa
2018,9,3625,180,Chuvosa
2018,10,2924,120,Chuvosa
2018,11,2835,80,Seca
2018,12,2945,70,Seca
2019,12,2,70,Seca
2021,1,2164,100,Seca
2021,2,2062,110,Seca
2021,3,2271,150,Seca
2021,4,2052,250,Chuvosa
2021,5,2559,320,Chuvosa
2021,6,1839,350,Chuvosa
2021,7,1861,340,Chuvosa
2021,8,2270,280,Chuvosa
2021,9,2324,180,Chuvosa
2021,10,2225,120,Chuvosa
2021,11,1837,80,Seca
2021,12,2268,70,Seca
2023,1,2702,100,Seca
2023,2,1943,110,Seca
2023,3,3077,150,Seca
2023,4,3017,250,Chuvosa
2023,5,2111,320,Chuvosa
2023,6,2696,350,Chuvosa
2023,7,2730,340,Chuvosa
2023,8,1836,280,Chuvosa
2023,9,2419,180,Chuvosa
2023,10,3074,120,Chuvosa
2023,11,2878,80,Seca
2023,12,1898,70,Seca
2024,1,2416,100,Seca
2024,2,3211,110,Seca
2024,3,2594,150,Seca
2024,4,3252,250,Chuvosa
2024,5,2436,320,Chuvosa
2024,6,2831,350,Chuvosa
2024,7,2003,340,Chuvosa
2024,8,3049,280,Chuvosa
2024,9,2876,180,Chuvosa
2024,10,2347,120,Chuvosa
2024,11,3117,80,Seca
2024,12,2298,70,Seca
