Bairro,total_ocorrencias,ranking,percentual
Cohab,155684,1,17.57
Nova Descoberta,91999,2,10.38
Dois Unidos,77326,3,8.72
Varzea,50461,4,5.69
Jordao,42240,5,4.77
Agua Fria,37147,6,4.19
Guabiraba,36185,7,4.08
Linha do Tiro,34602,8,3.9
Ibura,33919,9,3.83
Vasco da Gama ,33355,10,3.76
Passarinho,30629,11,3.46
Alto Jose Bonifacio ,28699,12,3.24
Barro,28133,13,3.17
Macaxeira ,15811,14,1.78
Brejo da Guabiraba,15518,15,1.75
Dois Irmaos,12296,16,1.39
Coqueiral,11475,17,1.29
Nao Informado,8797,18,0.99
Bomba do Hemeterio,8210,19,0.93
Sao Jose,7707,20,0.87
Corrego do Jenipapo,7356,21,0.83
Alto Jose Bonifacio,7315,22,0.83
Alto Santa Terezinha,7122,23,0.8
Vasco da Gama,7073,24,0.8
Jardim Sao Paulo,6299,25,0.71
Boa Vista,6220,26,0.7
Morro da Conceicao,6008,27,0.68
Recife,4837,28,0.55
Santo Antonio,4578,29,0.52
Curado,4270,30,0.48
Caxanga,3413,31,0.39
Macaxeira,3382,32,0.38
Beberibe,3236,33,0.37
Boa Viagem,3189,34,0.36
Areias,3122,35,0.35
Imbiribeira,2770,36,0.31
Torre,2709,37,0.31
Casa Amarela,1825,38,0.21
Iputinga,1738,39,0.2
Arruda,1710,40,0.19
Campo Grande,1692,41,0.19
Toto,1640,42,0.19
Santo Amaro,1610,43,0.18
Cordeiro,1528,44,0.17
Fundao,1517,45,0.17
não informado,1443,46,0.16
Casa Amarela ,1437,47,0.16
Campina do Barreto,1311,48,0.15
Pina,1259,49,0.14
Estancia,1227,50,0.14
Afogados,1209,51,0.14
Mangabeira,1175,52,0.13
Brejo de Beberibe,1071,53,0.12
Sancho,1031,54,0.12
Ilha do Retiro,921,55,0.1
San Martin,914,56,0.1
Ilha Joana Bezerra,892,57,0.1
Apipucos ,839,58,0.09
Ipsep,708,59,0.08
Alto Jose do Pinho,708,60,0.08
Madalena,708,61,0.08
Ibura ,681,62,0.08
Bairro do Recife,673,63,0.08
Brasilia Teimosa,619,64,0.07
Tejipio,573,65,0.06
Ibura de Baixo,565,66,0.06
Torroes,551,67,0.06
Gracas,542,68,0.06
Cajueiro,539,69,0.06
Jordao ,528,70,0.06
Cohab ,526,71,0.06
Espinheiro,523,72,0.06
Coelhos,470,73,0.05
Jiquia,398,74,0.04
Tamarineira,361,75,0.04
Encruzilhada,336,76,0.04
Bairro Nao Cadastrado,267,77,0.03
Engenho do Meio,257,78,0.03
Apipucos,254,79,0.03
Bongi,230,80,0.03
Alto do Mandu,224,81,0.03
Casa Forte,218,82,0.02
Vasco Da Gama ,216,83,0.02
Prado,198,84,0.02
Poco da Panela,179,85,0.02
Rosarinho,174,86,0.02
Mangueira,171,87,0.02
Cacote,169,88,0.02
Morro Da Conceicao,162,89,0.02
Ilha do Leite,156,90,0.02
Aflitos,139,91,0.02
Derby,137,92,0.02
Zumbi do Pacheco,133,93,0.02
Mustardinha,124,94,0.01
Dois Irmaos ,122,95,0.01
Monteiro,117,96,0.01
